location,tax_rate,shipping_fee
Alabama,5.90540211,5.45426333
Alaska,5.26223136,5.24416123
Arizona,5.55575445,5.26011419
Arkansas,5.57874013,5.88884465
California,5.59208841,5.59208841
Colorado,5.3954065,5.21712755
Connecticut,5.98756223,5.50443103
Delaware,5.09000032,5.04664521
Florida,5.10855264,5.62117158
Georgia,5.78415857,5.41793837
Hawaii,5.06289243,5.37780309
Idaho,5.98616017,5.5238232
Illinois,5.96136759,5.85217191
Indiana,5.01136621,5.7135146
Iowa,5.67489327,5.53160063
Kansas,5.26415694,5.63455218
Kentucky,5.11043665,5.4304176
Louisiana,5.44918647,5.94427777
Maine,5.86709441,5.26075516
Maryland,5.49558025,5.17686536
Massachusetts,5.90350156,5.86181338
Michigan,5.29546034,5.63256
Minnesota,5.60288051,5.15131088
Mississippi,5.75488569,5.53398524
Missouri,5.77084021,5.52505014
Montana,5.00056618,5.3209145
Nebraska,5.01928197,5.91980763
Nevada,5.86993466,5.82334887
New Hampshire,5.30443898,5.05734591
New Jersey,5.8692295,5.93747995
New Mexico,5.08479692,5.48113056
New York,5.18711314,5.18711314
North Carolina,5.06852039,5.75299614
North Dakota,5.75817609,5.12710755
Ohio,5.47052955,5.54430556
Oklahoma,5.26240606,5.86370871
Oregon,5.41890656,5.20968022
Pennsylvania,5.53390313,5.72263176
Rhode Island,5.19913955,5.30859913
South Carolina,5.98519786,5.64337928
South Dakota,5.43371908,5.51240008
Tennessee,5.11979415,5.22245036
Texas,5.33470471,5.58242563
Utah,0,5.44925658
Vermont,5.22781359,5.21801521
Virginia,5.07028316,5.62479193
Washington,5.22665237,5.89636581
West Virginia,5.85103905,5.07014878
Wisconsin,5.23562459,5.662288
Wyoming,5.21209444,5.13098873
PennsylvaniaRhode Island,5.60860878,5.60860878
Canada,15.5901966,15.5901966
Brazil,0,15.9483346
Japan,0,15.2832011
United Kingdom,15.572205,15.572205
United States of America,15.9016691,15.9016691
Australia,15.9261591,15.5653327
France,15.4679443,15.7767732
Germany,15.799422,15.1885058
India,15.0959615,15.4267407
Mexico,15.4193428,15.4623544
New Zealand,0,15.7217851
South Africa,15.6666309,15.9743236
South Korea,15.0974337,15.3985951
Spain,15.3359096,15.8530558
Sweden,15.2461698,15.1883068
